time,true_sector,true_aprox_distance,true_n_drones,true_n_protocols,true_protocol_types,likelihood,decission,distance,Fc,deviceserial,sectorid,sector_v,uuid,macAP,manufacturerAP,macClient,manufacturerClient,protocolType,threshold,shooting_ratio,power,latitude,longitude,altitude,droneID,operatorId,drone_latitude,drone_longitude,drone_altitude,operator_latitude,operator_longitude,drone_ID,operator_ID,serial_number,drone_type,height,speed,direction,vertical_speed,object_id,north_speed,east_speed,evento
2025-10-09 16:52:17.671537,,,,,,[-1],[-1],[],5804935026.868588,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-58.13731949079876,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,1
2025-10-09 16:53:03.617184,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-55.05656870270294,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:04.620741,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-54.00524588872423,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:05.725230,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-54.91308537712087,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:06.732359,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-56.09227676641984,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:07.940167,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-55.50704674701698,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:09.046297,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-52.947075201006,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:10.051810,,,,,,[-1],[-1],[],5805745422.569614,,2,,,,,,,Skylink,,,-53.581052012397365,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:11.157539,,,,,,[-1],[-1],[],5805025070.835369,,2,,,,,,,Skylink,,,-55.45824359140089,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:12.464840,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-54.69507428584864,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:53:12.567732,,,,,,[-1],[-1],[],5805700400.586224,,2,,,,,,,Skylink,,,-53.38200103087181,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:15.482213,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.793480509869354,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:17.691769,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-59.613011170942215,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:53:29.031441,,,,,,[-1],[-1],[],5804980048.851978,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-57.26283090389446,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:54:27.006413,,,,,,[-1],[-1],[],2452161055.202736,,2,,,,,,,Skylink,,,-67.6296872299315,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:54:27.106998,,,,,,[-1],[-1],[],2443474567.6599903,,2,,,,,,,Skylink,,,-65.11802267441213,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:54:28.109657,,,,,,[-1],[-1],[],5804957537.860283,,2,,,,,,,Skylink,,,-59.378981469605876,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:54:30.314518,,,,,,[-1],[-1],[],5804957537.860283,,2,,,,,,,Skylink,,,-59.60846709731566,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:09.051825,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-61.2676594745267,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:55:09.657862,,,,,,[-1],[-1],[],2443519589.6433806,,2,,,,,,,Skylink,,,-63.63760066989417,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:09.760250,,,,,,[-1],[-1],[],2452521231.0698586,,2,,,,,,,Skylink,,,-64.35599352481044,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:11.268831,,,,,,[-1],[-1],[],5804980048.851978,,2,,,,,,,Skylink,,,-59.36115574267176,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:12.271142,,,,,,[-1],[-1],[],5845882520.762091,,2,,,,,,,Skylink,,,-60.84117710022142,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:13.473738,,,,,,[-1],[-1],[],2425690884.220811,,2,,,,,,,Skylink,,,-67.57653183392199,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:13.574383,,,,,,[-1],[-1],[],2434512437.713727,,2,,,,,,,Skylink,,,-65.88836103137002,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:13.674969,,,,,,[-1],[-1],[],5804980048.851978,,2,,,,,,,Skylink,,,-58.40238529923732,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:14.678510,,,,,,[-1],[-1],[],5804980048.851978,,2,,,,,,,Skylink,,,-57.93326177317641,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:15.882105,,,,,,[-1],[-1],[],5845499833.903273,,2,,,,,,,Skylink,,,-60.225083431097744,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:17.086721,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-59.10062606011956,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:17.791521,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.90000643025691,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:19.398211,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.59253911059221,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:19.398211,,,,,,[-1],[-1],[],5805002559.843674,,2,,01K74Q9F7FRKSD02HP7XVWPHY2,,,,,Skylink,,,-61.06789350061416,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,2
2025-10-09 16:55:20.804300,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.70655806583967,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:22.208926,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.96736270896961,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:23.312005,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.78125913176304,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:24.415065,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.86317938505922,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:25.621090,,,,,,[-1],[-1],[],2434512437.7137275,,2,,,,,,,Skylink,,,-66.09994171392933,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:25.821806,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.538591624922944,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:27.125773,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-59.8232884201883,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:28.629881,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.60823350875599,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:30.034729,,,,,,[-1],[-1],[],2416461377.625794,,2,,,,,,,Skylink,,,-63.00820780970929,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:30.137628,,,,,,[-1],[-1],[],2425485530.043967,,2,,,,,,,Skylink,,,-66.87905178800534,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:30.240138,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-59.72611238615854,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:31.145414,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-58.032971976245555,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:32.248384,,,,,,[-1],[-1],[],2470510268.6858816,,2,,,,,,,Skylink,,,-68.95961183021589,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:32.348979,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.818454170171904,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:33.551981,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-56.58266794401691,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:35.055984,,,,,,[-1],[-1],[],2470530024.425989,,2,,,,,,,Skylink,,,-61.815692770838105,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
2025-10-09 16:55:35.156447,,,,,,[-1],[-1],[],5805002559.843674,,2,,,,,,,Skylink,,,-57.20885187398328,,,,,,,,,,,,,,,,,,,01K74Q9F7FRKSD02HP7XVWPHY2,,,99
